Ekrani aplikacije,,,,,,,,,,,,,,,,,,,,,,,,,
Plan UI ekrana za prva 3 zaključena modula.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ID ekrana,Modul,Naziv ekrana,Opis,Prioritet,Status,Povezane funkcije,Napomena,,,,,,,,,,,,,,,,,,
UI-001,"Korisnici, agencije i prava",Super admin — Agencije,"Pregled agencija, pretplata, statusa aktivacije i isteka.",Vrlo visok,Implementirano djelimicno,"F-001,F-003,F-004",Pregled agencija postoji; pretplate nisu kompletno UI zaokruzene.,,,,,,,,,,,,,,,,,,
UI-002,"Korisnici, agencije i prava",Agencijski admin — Radnici,Kreiranje radnika i dodjela prava.,Vrlo visok,Implementirano,"F-005,F-008",Kreiranje radnika i dodjela prava postoje.,,,,,,,,,,,,,,,,,,
UI-003,"Korisnici, agencije i prava",Agencijski admin — Prava pristupa,"Matrica prava po firmama, modulima i akcijama.",Vrlo visok,Implementirano djelimicno,"F-007,F-008",Matrica prava postoji; enforcement prava treba dodatno zakljucati.,,,,,,,,,,,,,,,,,,
UI-004,"Korisnici, agencije i prava",Učinak radnika,Dnevni/nedjeljni/mjesečni pregled aktivnosti po radniku.,Visok,U izradi,"F-009,F-010",Postoji audit/aktivnost osnova; puni ekran ucinka jos nije implementiran.,,,,,,,,,,,,,,,,,,
UI-005,Firme i kontni plan,Lista firmi,"Naziv, PIB, tip, PDV status, godina, glavni radnik, status.",Vrlo visok,Implementirano,"F-012,F-014,F-019",Lista firmi postoji kao /agencija/firme.,,,,,,,,,,,,,,,,,,
UI-006,Firme i kontni plan,Dodavanje firme,"Unos PIB-a, IRMS pretraga, provjera podataka i snimanje.",Vrlo visok,Implementirano,"F-012,F-013",Dodavanje firme sa IRMS pretragom postoji kao /agencija/firme/nova.,,,,,,,,,,,,,,,,,,
UI-007,Firme i kontni plan,Profil firme,"Tabovi: podaci, lica, banke, godine, podešavanja, radnici, klijenti, ugovor, kontni plan.",Vrlo visok,Implementirano djelimicno,F-012-F-023,"Detalj firme sada prikazuje osnovne podatke, godine, bankovne racune, ugovor/cijenu i korisnike; odgovorna lica, kontni plan i podesavanja jos nisu kompletirani.",,,,,,,,,,,,,,,,,,
UI-008,Firme i kontni plan,Poslovne godine,"Otvaranje, zaključavanje, otključavanje i arhiva godina.",Vrlo visok,Implementirano,"F-014,F-015",Centralna stranica poslovnih godina postoji.,,,,,,,,,,,,,,,,,,
UI-009,Firme i kontni plan,Kontni plan firme,Kombinovani prikaz osnovnog plana i firmi specifičnih izmjena.,Vrlo visok,Implementirano,"F-021,F-022,F-023",Postoje dva ekrana: globalni osnovni kontni plan u podesavanjima i kontni plan firme za specificne izmjene i default konta.,,,,,,,,,,,,,,,,,,
UI-010,Nalozi za knjiženje,Lista naloga,"Pregled naloga po firmi, godini, vrsti, broju, statusu, korisniku.",Vrlo visok,Implementirano,F-024-F-031,"Lista naloga po aktivnoj firmi/godini postoji na /agencija/nalozi, sa filterom statusa.",,,,,,,,,,,,,,,,,,
UI-011,Nalozi za knjiženje,Unos naloga,Zaglavlje + tabelarni unos stavki.,Vrlo visok,Implementirano djelimicno,"F-026,F-027,F-029",Unos novog naloga postoji na /agencija/nalozi/novi; izmjena nacrta ostaje za naredni korak.,,,,,,,,,,,,,,,,,,
UI-012,Nalozi za knjiženje,Nacrti naloga,Lista nacrta koji nijesu proknjiženi.,Visok,Implementirano,F-028,Nacrti su dostupni preko /agencija/nalozi/nacrti odnosno status filtera.,,,,,,,,,,,,,,,,,,
UI-013,Nalozi za knjiženje,Početno stanje,Pregled/generisanje/proknjižavanje početnog stanja.,Vrlo visok,Nije poceto,"F-034,F-035",Početno stanje jos nije posebna funkcionalnost.,,,,,,,,,,,,,,,,,,
UI-014,Nalozi za knjiženje,Partneri,"Lista partnera, kupac/dobavljač oznake, PIB, kontakt podaci.",Vrlo visok,Implementirano,F-036,"Agencijski ekran za dodatne partnere i admin ekran za globalne partnere podrzavaju unos, IRMS pretragu i izmjenu.",,,,,,,,,,,,,,,,,,
UI-015,Nalozi za knjiženje,Bruto bilans,"PS, promet, ukupno, saldo; filter po firmi, godini, poslovnoj jedinici.",Vrlo visok,Nije poceto,F-038,Bruto bilans jos nije implementiran.,,,,,,,,,,,,,,,,,,
UI-016,Nalozi za knjiženje,Kartica partnera,Detaljna kartica i zbirni saldo kupaca/dobavljača.,Vrlo visok,Implementirano djelimicno,F-037,Osnovna analiticka kartica je implementirana u /agencija/nalozi/analiticke-kartice; ostaju detalji stampa/export i napredni pregledi.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
