Testovi,,,,,,,,,,,,,,,,,,,,,,,,,
Test scenariji za prva 3 modula. Služe Codexu i ručnom QA procesu.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test ID,Modul,Šta se testira,Očekivani rezultat,Povezana funkcija/pravilo,Status,Testirao,Datum,Napomena,,,,,,,,,,,,,,,,,
T-001,Korisnici i prava,Super admin kreira agenciju,Agencija se kreira i vidi u listi agencija.,"F-001,R-002",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-002,Korisnici i prava,Deaktivirana agencija login,Korisnici deaktivirane agencije ne mogu ući u sistem.,"F-004,R-003",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-003,Korisnici i prava,Radnik bez firme pokušava pristup,Pristup firmi odbijen.,"F-007,R-005",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-004,Korisnici i prava,Klijent otvara tuđu firmu,Pristup odbijen.,"F-006,R-006",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-005,Korisnici i prava,Audit log kreiranja naloga,"Log sadrži korisnika, firmu, modul, akciju, vrijeme.","F-010,R-010",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-006,Firme i kontni plan,Kreiranje firme sa PIB-om,Firma se snimi i otvori se tekuća godina.,"F-012,F-014",Djelimicno testirano,Codex,2026-06-17,"Kreiranje firme implementirano; provjeren build/lint, korisnik potvrdio IRMS/dodavanje.",,,,,,,,,,,,,,,,,
T-007,Firme i kontni plan,Dupli PIB u istoj agenciji,Sistem odbija duplikat.,"F-012,R-013",Djelimicno testirano,Codex,2026-06-17,Unique agency+pib i server provjera postoje; treba jos rucni QA duplikata.,,,,,,,,,,,,,,,,,
T-008,Firme i kontni plan,Isti PIB u drugoj agenciji,Sistem dozvoljava unos.,"F-012,R-013",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-009,Firme i kontni plan,IRMS nije dostupan,Korisnik može ručno nastaviti unos firme.,"F-013,R-014",Djelimicno testirano,Codex,2026-06-17,IRMS greske ne blokiraju rucni unos; treba jos QA nedostupnosti servisa.,,,,,,,,,,,,,,,,,
T-010,Firme i kontni plan,Duplikat poslovne godine,Sistem ne dozvoljava dvije iste godine za firmu.,"F-014,R-017",Djelimicno testirano,Codex,2026-06-17,Unique firma+godina i server provjera postoje; treba rucni QA.,,,,,,,,,,,,,,,,,
T-011,Firme i kontni plan,Zaključana godina,Izmjene naloga su blokirane dok se godina ne otključa.,"F-015,R-018",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-012,Firme i kontni plan,Kontni plan firme bez override-a,Prikazuje se osnovni kontni plan.,"F-021,R-025",Djelimicno testirano,Codex,2026-06-29,"Migracija i lokalna baza provjereni: 1514 aktivnih konta; klase 0/1/2/5 imaju D, 3/4/6 imaju P. Dodata pretraga po sifri/nazivu iznad tabele; treba jos rucni QA izmjene.",,,,,,,,,,,,,,,,,
T-013,Firme i kontni plan,Specifično konto firme,Novo konto se pojavljuje samo kod te firme.,"F-022,R-025",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-014,Firme i kontni plan,Izmjena naziva osnovnog konta,"Firma vidi izmijenjeni naziv, druge firme osnovni naziv.","F-022,R-025",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-015,Firme i kontni plan,Deaktivirano konto za firmu,Konto se ne nudi za nova knjiženja.,"F-022,R-027",Zaključeno,,,,,,,,,,,,,,,,,,,,
T-016,Nalozi,Prvi KAL nalog u godini,Dobija broj KAL-2026-0001.,"F-025,R-030",Djelimicno testirano,Codex,2026-06-19,Seed vrsta naloga i build/lint provjereni; treba rucni unos prvog KAL/RN naloga.,,,,,,,,,,,,,,,,,
T-017,Nalozi,Dupli broj naloga,Sistem odbija dupli broj za istu firmu/godinu/vrstu.,"F-025,R-031",Djelimicno testirano,Codex,2026-06-19,Unique firma+godina+vrsta+broj postoji u bazi; rucni QA duplikata nije radjen.,,,,,,,,,,,,,,,,,
T-018,Nalozi,Nacrt neizbalansiran,"Nacrt se može snimiti, ali ne ulazi u bruto bilans.","F-028,R-035",Djelimicno testirano,Codex,2026-06-19,Nacrt se moze sacuvati bez proknjizavanja; treba rucni QA neizbalansiranog naloga.,,,,,,,,,,,,,,,,,
T-019,Nalozi,Proknjiži neizbalansiran ručni nalog,Sistem odbija knjiženje.,"F-029,R-033",Djelimicno testirano,Codex,2026-06-19,Server action odbija proknjizavanje ako duguje nije jednako potrazuje; treba rucni QA.,,,,,,,,,,,,,,,,,
T-020,Nalozi,Proknjiži izbalansiran nalog,Status POSTED i ulazi u bruto bilans.,"F-029,R-036",Djelimicno testirano,Codex,2026-06-19,Server action proknjizava samo izbalansiran nalog; treba rucni QA.,,,,,,,,,,,,,,,,,
T-021,Nalozi,Direktna izmjena proknjiženog naloga,Sistem ne dozvoljava direktnu izmjenu.,"F-030,R-037",Nije poceto,,,Izmjena proknjizenog naloga nije implementirana; postoji samo vracanje u nacrt.,,,,,,,,,,,,,,,,,
T-022,Nalozi,Vrati nalog u nacrt bez prava,Pristup odbijen.,"F-030,R-038",Nije poceto,,,Detaljna prava za reopen jos nisu implementirana.,,,,,,,,,,,,,,,,,
T-023,Nalozi,Soft delete naloga,Nalog dobija DELETED i ne ulazi u izvještaje.,"F-031,R-039",Djelimicno testirano,Codex,2026-06-19,Soft delete action implementiran; treba rucni QA i arhiva.,,,,,,,,,,,,,,,,,
T-024,Nalozi,Jedan nalog sa više dokumenata,Veze se čuvaju u journal_document_links.,"F-032,R-042",Nije poceto,,,Veze dokument-nalog jos nisu implementirane.,,,,,,,,,,,,,,,,,
T-025,Nalozi,Izmjena dokumenta poslije knjiženja,Povezani nalog dobija NEEDS_REVIEW/SOURCE_CHANGED.,"F-033,R-043",Nije poceto,,,Status uskladjenosti sa izvornim dokumentom jos nije povezan sa dokumentima.,,,,,,,,,,,,,,,,,
